dataset,variant,seed,epochs,wde,fde,sim,auc_j,nss
meccano,v11,13,35,0.30797861237078905,0.15812782029854133,0.21084436,0.7763175193685143,1.02659414
meccano,v12,13,35,0.3017325661843643,0.15461498352116906,0.21118246000000002,0.7761144258478077,1.01761315
meccano,baseline,42,35,0.37900289460085335,0.19831913035595788,0.21095112,0.7765785977953625,1.0289079
meccano,v1,42,35,0.3267981824697927,0.16418762275017798,0.21784330000000002,0.7890966750066267,1.0953107
meccano,v2,42,35,0.334538485633675,0.17057103888248093,0.21724567,0.786974056173692,1.0852123
meccano,v3,42,35,0.2761561310500838,0.14048600323032587,0.21391662,0.7822828254064902,1.0438861
meccano,v4,42,35,0.3930791116785258,0.20989536690642127,0.21450705,0.7857513263285026,1.0633202
meccano,v5,42,35,0.32027698060264814,0.16241958198836073,0.21783326,0.7893049931537428,1.0947571
meccano,v6,42,35,0.35108101305086165,0.18766318119480274,0.21476456,0.7888084217306208,1.0561813
meccano,v7,42,35,0.33873981579672546,0.17510226199403406,0.21555609,0.7858436673171542,1.0771987
meccano,v8,42,35,0.3433275878778659,0.174877207177924,0.2129124,0.7848477664331778,1.0467791
meccano,v9,42,35,0.3744231741758995,0.1974401260947343,0.21537269,0.7890584695898046,1.0720078
meccano,v10,42,35,0.34213569087442014,0.1826547608349938,0.21666372,0.7877075375142463,1.0934801
meccano,v11,42,35,0.37666901820339266,0.19867912528454326,0.2166755,0.7839911911875798,1.0804963
meccano,v12,42,35,0.3702908820239827,0.1942407686309889,0.21250824000000001,0.7829131083384618,1.0485550000000001
meccano,baseline,256,35,0.3930132450652309,0.21478693939279764,0.21160588,0.7783983155888606,1.0369296
meccano,v1,256,35,0.33433804498054087,0.16573375725594816,0.21751988,0.7863425519160014,1.0882357
meccano,v2,256,35,0.3477667577448301,0.16998997344519012,0.21444157,0.7827010730163825,1.058714
meccano,v3,256,35,0.38979248955147344,0.2060512637125794,0.21536242,0.7844079599741867,1.0591479000000001
meccano,v4,256,35,0.3542317873216234,0.18785679911263287,0.21650972000000002,0.7849170904620876,1.0709297
meccano,v5,256,35,0.33450337322428825,0.16290062107611447,0.21714783000000001,0.7881828094434414,1.0806126
meccano,v6,256,35,0.3376955105690286,0.16793849365087227,0.21241324,0.7818655171186079,1.03437577
meccano,v7,256,35,0.37816283883294094,0.19985364086343907,0.21667573,0.7848285625126846,1.0800527
meccano,v8,256,35,0.40976708752568813,0.22003612964064814,0.21398668,0.7860884458244203,1.0625418
meccano,v9,256,35,0.3503490238566883,0.1756297487928532,0.21465703,0.7835011693286715,1.0631508
meccano,v10,256,35,0.27573712391313165,0.13870356803992764,0.21114623000000002,0.7776696039491944,1.0468839
meccano,v11,256,35,0.35757097739260646,0.17862814449355938,0.21555555,0.7860332958756084,1.0767283
meccano,v12,256,35,0.3503291616449133,0.17536254068720156,0.21563338,0.7879120435097061,1.0693887
meccano,baseline,777,35,0.34659530009375883,0.18109707995317875,0.20583136,0.7659334426078662,0.98101
meccano,v1,777,35,0.354684850492049,0.17539177422760985,0.21075538,0.7775227355517063,1.0258705
meccano,v2,777,35,0.3384152523940429,0.17115128328325227,0.2056135,0.7711461743695329,0.9871345
meccano,v3,777,35,0.34944372647441924,0.175679882428376,0.21046034,0.7756981749945997,1.02238295
meccano,v4,777,35,0.2904391932650469,0.14402436704724095,0.20759553,0.7679399840814133,0.9917986000000001
meccano,v5,777,35,0.3325469021918252,0.1670601630397141,0.21483706,0.7820569115918449,1.0620921
meccano,v6,777,35,0.31221960491966455,0.1562100614584051,0.21047697,0.7780729962292469,1.0162771
meccano,v7,777,35,0.3552318005939014,0.17832866985583679,0.21078617,0.7769154531377299,1.03060243
meccano,v8,777,35,0.3230535976588726,0.16717693251441232,0.21317289,0.7841341169702355,1.052799
meccano,v9,777,35,0.35324055375531316,0.17505212511634455,0.21195704,0.783048019115968,1.0583393
meccano,v10,777,35,0.30182089377194643,0.14915274522965774,0.20495591,0.7668929601982998,0.9742838500000001
meccano,v11,777,35,0.3203728058724664,0.15959557479829528,0.21167605,0.7804598128403408,1.0301949
meccano,v12,777,35,0.3318943076999858,0.1659324613388162,0.21549911,0.785350943239457,1.0707438
meccano,baseline,2025,35,0.37944026998011393,0.20083796959079336,0.21147735,0.7756822245951454,1.0344515
meccano,v1,2025,35,0.3454087476769928,0.18482225129730068,0.21362123,0.7831191285349213,1.0524068
meccano,v2,2025,35,0.3490872176829726,0.18537017685186583,0.20807076,0.7722034405732348,0.9989301300000001
meccano,v3,2025,35,0.30367104687029495,0.14874622888630257,0.20591775,0.7640341819567571,0.9639498400000001
meccano,v4,2025,35,0.4060879616998136,0.22719842228572815,0.21479112,0.7836427077524558,1.0775835
meccano,v5,2025,35,0.35021730659063904,0.19275413176685105,0.21005068000000002,0.7748055037828638,1.013575
meccano,v6,2025,35,0.31758883624570444,0.16090524099883624,0.21189169,0.7781585694424935,1.03559814
meccano,v7,2025,35,0.3421454392373562,0.1833905537542887,0.20919082,0.7727766589309601,1.00979177
meccano,v8,2025,35,0.32455357032595206,0.16776668354752475,0.21329745,0.7804374657907934,1.0476044
meccano,v9,2025,35,0.3190841805422679,0.16627692771900912,0.21011165,0.7755099756539322,1.0236161
meccano,v10,2025,35,0.30958364652469755,0.16787936295033432,0.20872345,0.7751458003716531,1.0105797
meccano,v11,2025,35,0.32675118339248005,0.1645967762672808,0.209984,0.7750526178505747,1.00579254
meccano,v12,2025,35,0.3268396912375465,0.16669166771927849,0.20732221,0.7693539367170885,0.9846374
