==========================================
=== v7: Clamped gaze_alpha (max=0.1)  ===
==========================================
=== v7 TRAINING ===
python traineval.py --ek_version=egtea --epochs=30 --batch_size=32 --num_classes=106 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True --use_gaze --gaze_alpha_clamp=0.1
training dataset size: 1880
evaluation dataset size: 69
Epoch:0 (22/59) Data: 0.001105s | Batch: 0.334s | future_traj_r_loss: 0.104 | future_traj_l_loss: 0.144 | rec_r_loss: 0.177| rec_l_loss: 0.169| total_loss: 0.461 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.089 
Epoch:0 (23/59) Data: 0.000951s | Batch: 0.326s | future_traj_r_loss: 0.079 | future_traj_l_loss: 0.179 | rec_r_loss: 0.166| rec_l_loss: 0.169| total_loss: 0.492 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.053 
Epoch:0 (24/59) Data: 0.000914s | Batch: 0.317s | future_traj_r_loss: 0.152 | future_traj_l_loss: 0.277 | rec_r_loss: 0.144| rec_l_loss: 0.140| total_loss: 0.631 | future_valid_r: 32.0 | future_valid_l: 18.0 | obj_loss: 0.049 
Epoch:0 (25/59) Data: 0.000910s | Batch: 0.309s | future_traj_r_loss: 0.098 | future_traj_l_loss: 0.129 | rec_r_loss: 0.144| rec_l_loss: 0.146| total_loss: 0.429 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.061 
Epoch:0 (26/59) Data: 0.000893s | Batch: 0.302s | future_traj_r_loss: 0.167 | future_traj_l_loss: 0.152 | rec_r_loss: 0.145| rec_l_loss: 0.152| total_loss: 0.506 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.084 
Epoch:0 (27/59) Data: 0.000906s | Batch: 0.296s | future_traj_r_loss: 0.144 | future_traj_l_loss: 0.136 | rec_r_loss: 0.163| rec_l_loss: 0.160| total_loss: 0.515 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.071 
Epoch:0 (28/59) Data: 0.000839s | Batch: 0.290s | future_traj_r_loss: 0.202 | future_traj_l_loss: 0.190 | rec_r_loss: 0.145| rec_l_loss: 0.134| total_loss: 0.579 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.061 
Epoch:0 (29/59) Data: 0.000767s | Batch: 0.284s | future_traj_r_loss: 0.127 | future_traj_l_loss: 0.095 | rec_r_loss: 0.147| rec_l_loss: 0.131| total_loss: 0.456 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.061 
Epoch:0 (30/59) Data: 0.000755s | Batch: 0.279s | future_traj_r_loss: 0.134 | future_traj_l_loss: 0.153 | rec_r_loss: 0.135| rec_l_loss: 0.138| total_loss: 0.496 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.047 
Epoch:0 (31/59) Data: 0.000751s | Batch: 0.274s | future_traj_r_loss: 0.088 | future_traj_l_loss: 0.160 | rec_r_loss: 0.137| rec_l_loss: 0.135| total_loss: 0.406 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.055 
