python traineval.py --ek_version=egtea --epochs=30 --batch_size=32 --num_classes=106 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True --use_gaze
training dataset size: 1880
evaluation dataset size: 69
Epoch:0 (39/59) Data: 0.000754s | Batch: 0.245s | future_traj_r_loss: 0.126 | future_traj_l_loss: 0.200 | rec_r_loss: 0.121| rec_l_loss: 0.120| total_loss: 0.459 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.051 
Epoch:0 (40/59) Data: 0.000725s | Batch: 0.242s | future_traj_r_loss: 0.100 | future_traj_l_loss: 0.123 | rec_r_loss: 0.122| rec_l_loss: 0.121| total_loss: 0.365 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.045 
Epoch:0 (41/59) Data: 0.000719s | Batch: 0.239s | future_traj_r_loss: 0.144 | future_traj_l_loss: 0.235 | rec_r_loss: 0.122| rec_l_loss: 0.128| total_loss: 0.535 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.029 
Epoch:0 (42/59) Data: 0.000726s | Batch: 0.236s | future_traj_r_loss: 0.112 | future_traj_l_loss: 0.155 | rec_r_loss: 0.117| rec_l_loss: 0.115| total_loss: 0.411 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.041 
Epoch:0 (43/59) Data: 0.000728s | Batch: 0.233s | future_traj_r_loss: 0.118 | future_traj_l_loss: 0.179 | rec_r_loss: 0.116| rec_l_loss: 0.111| total_loss: 0.374 | future_valid_r: 32.0 | future_valid_l: 9.0 | obj_loss: 0.048 
Epoch:0 (44/59) Data: 0.000741s | Batch: 0.230s | future_traj_r_loss: 0.110 | future_traj_l_loss: 0.188 | rec_r_loss: 0.114| rec_l_loss: 0.106| total_loss: 0.442 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.039 
Epoch:0 (45/59) Data: 0.000762s | Batch: 0.227s | future_traj_r_loss: 0.120 | future_traj_l_loss: 0.335 | rec_r_loss: 0.113| rec_l_loss: 0.104| total_loss: 0.449 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.039 
Epoch:0 (46/59) Data: 0.000717s | Batch: 0.225s | future_traj_r_loss: 0.117 | future_traj_l_loss: 0.151 | rec_r_loss: 0.110| rec_l_loss: 0.115| total_loss: 0.407 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.046 
Epoch:0 (47/59) Data: 0.000710s | Batch: 0.222s | future_traj_r_loss: 0.131 | future_traj_l_loss: 0.170 | rec_r_loss: 0.109| rec_l_loss: 0.112| total_loss: 0.365 | future_valid_r: 32.0 | future_valid_l: 7.0 | obj_loss: 0.035 
Epoch:0 (48/59) Data: 0.000738s | Batch: 0.220s | future_traj_r_loss: 0.139 | future_traj_l_loss: 0.177 | rec_r_loss: 0.110| rec_l_loss: 0.112| total_loss: 0.413 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.053 
Epoch:0 (49/59) Data: 0.000711s | Batch: 0.218s | future_traj_r_loss: 0.134 | future_traj_l_loss: 0.143 | rec_r_loss: 0.105| rec_l_loss: 0.102| total_loss: 0.413 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.060 
Epoch:0 (50/59) Data: 0.000748s | Batch: 0.216s | future_traj_r_loss: 0.081 | future_traj_l_loss: 0.204 | rec_r_loss: 0.110| rec_l_loss: 0.108| total_loss: 0.371 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.049 
Epoch:0 (51/59) Data: 0.000723s | Batch: 0.214s | future_traj_r_loss: 0.142 | future_traj_l_loss: 0.368 | rec_r_loss: 0.111| rec_l_loss: 0.104| total_loss: 0.482 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.027 
Epoch:0 (52/59) Data: 0.000703s | Batch: 0.212s | future_traj_r_loss: 0.135 | future_traj_l_loss: 0.236 | rec_r_loss: 0.111| rec_l_loss: 0.105| total_loss: 0.453 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.031 
Epoch:0 (53/59) Data: 0.000719s | Batch: 0.210s | future_traj_r_loss: 0.127 | future_traj_l_loss: 0.224 | rec_r_loss: 0.104| rec_l_loss: 0.101| total_loss: 0.438 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.052 
Epoch:0 (54/59) Data: 0.000738s | Batch: 0.208s | future_traj_r_loss: 0.172 | future_traj_l_loss: 0.187 | rec_r_loss: 0.111| rec_l_loss: 0.108| total_loss: 0.477 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.037 
Epoch:0 (55/59) Data: 0.000712s | Batch: 0.206s | future_traj_r_loss: 0.147 | future_traj_l_loss: 0.229 | rec_r_loss: 0.096| rec_l_loss: 0.093| total_loss: 0.434 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.028 
Epoch:0 (56/59) Data: 0.000729s | Batch: 0.205s | future_traj_r_loss: 0.166 | future_traj_l_loss: 0.182 | rec_r_loss: 0.109| rec_l_loss: 0.102| total_loss: 0.474 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.041 
Epoch:0 (57/59) Data: 0.000727s | Batch: 0.203s | future_traj_r_loss: 0.117 | future_traj_l_loss: 0.157 | rec_r_loss: 0.108| rec_l_loss: 0.100| total_loss: 0.389 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.035 
Epoch:0 (58/59) Data: 0.000716s | Batch: 0.201s | future_traj_r_loss: 0.148 | future_traj_l_loss: 0.234 | rec_r_loss: 0.103| rec_l_loss: 0.098| total_loss: 0.516 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.047 
Epoch:0 (59/59) Data: 0.000675s | Batch: 0.200s | future_traj_r_loss: 0.085 | future_traj_l_loss: 0.203 | rec_r_loss: 0.098| rec_l_loss: 0.098| total_loss: 0.412 | future_valid_r: 24.0 | future_valid_l: 13.0 | obj_loss: 0.029 
save epoch 1 checkpoint
Epoch:1 (1/59) Data: 2.943483s | Batch: 3.070s | future_traj_r_loss: 0.153 | future_traj_l_loss: 0.154 | rec_r_loss: 0.097| rec_l_loss: 0.093| total_loss: 0.460 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.025 
Epoch:1 (2/59) Data: 0.001146s | Batch: 1.593s | future_traj_r_loss: 0.153 | future_traj_l_loss: 0.182 | rec_r_loss: 0.101| rec_l_loss: 0.091| total_loss: 0.418 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.036 
Epoch:1 (3/59) Data: 0.001026s | Batch: 1.104s | future_traj_r_loss: 0.180 | future_traj_l_loss: 0.182 | rec_r_loss: 0.094| rec_l_loss: 0.089| total_loss: 0.512 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.037 
Epoch:1 (4/59) Data: 0.000972s | Batch: 0.858s | future_traj_r_loss: 0.173 | future_traj_l_loss: 0.098 | rec_r_loss: 0.095| rec_l_loss: 0.091| total_loss: 0.414 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.032 
Epoch:1 (5/59) Data: 0.001062s | Batch: 0.711s | future_traj_r_loss: 0.129 | future_traj_l_loss: 0.182 | rec_r_loss: 0.091| rec_l_loss: 0.092| total_loss: 0.440 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.028 
