==========================================
=== MECCANO BASELINE (30ep) ===
==========================================
=== TRAINING ===
python traineval.py --ek_version=meccano --epochs=30 --batch_size=32 --num_classes=61 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True
training dataset size: 4679
evaluation dataset size: 2584
Epoch:0 (1/147) Data: 1.273503s | Batch: 1.895s | future_traj_r_loss: 0.368 | future_traj_l_loss: 0.210 | rec_r_loss: 1.001| rec_l_loss: 1.005| total_loss: 2.622 | future_valid_r: 29.0 | future_valid_l: 31.0 | obj_loss: 0.505 
Epoch:0 (12/147) Data: 0.000771s | Batch: 0.272s | future_traj_r_loss: 0.210 | future_traj_l_loss: 0.251 | rec_r_loss: 0.188| rec_l_loss: 0.189| total_loss: 0.907 | future_valid_r: 30.0 | future_valid_l: 30.0 | obj_loss: 0.113 
Epoch:0 (13/147) Data: 0.000756s | Batch: 0.260s | future_traj_r_loss: 0.294 | future_traj_l_loss: 0.230 | rec_r_loss: 0.159| rec_l_loss: 0.158| total_loss: 0.965 | future_valid_r: 32.0 | future_valid_l: 30.0 | obj_loss: 0.144 
Epoch:0 (14/147) Data: 0.000771s | Batch: 0.250s | future_traj_r_loss: 0.253 | future_traj_l_loss: 0.274 | rec_r_loss: 0.162| rec_l_loss: 0.160| total_loss: 0.943 | future_valid_r: 31.0 | future_valid_l: 30.0 | obj_loss: 0.107 
Epoch:0 (15/147) Data: 0.000797s | Batch: 0.241s | future_traj_r_loss: 0.264 | future_traj_l_loss: 0.249 | rec_r_loss: 0.155| rec_l_loss: 0.155| total_loss: 0.962 | future_valid_r: 32.0 | future_valid_l: 32.0 | obj_loss: 0.106 
Epoch:0 (16/147) Data: 0.000830s | Batch: 0.234s | future_traj_r_loss: 0.296 | future_traj_l_loss: 0.300 | rec_r_loss: 0.157| rec_l_loss: 0.156| total_loss: 1.035 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.096 
Epoch:0 (17/147) Data: 0.000822s | Batch: 0.227s | future_traj_r_loss: 0.199 | future_traj_l_loss: 0.299 | rec_r_loss: 0.153| rec_l_loss: 0.154| total_loss: 0.917 | future_valid_r: 30.0 | future_valid_l: 32.0 | obj_loss: 0.104 
Epoch:0 (18/147) Data: 0.000801s | Batch: 0.221s | future_traj_r_loss: 0.247 | future_traj_l_loss: 0.209 | rec_r_loss: 0.142| rec_l_loss: 0.144| total_loss: 0.805 | future_valid_r: 28.0 | future_valid_l: 32.0 | obj_loss: 0.112 
Epoch:0 (19/147) Data: 0.000796s | Batch: 0.216s | future_traj_r_loss: 0.169 | future_traj_l_loss: 0.252 | rec_r_loss: 0.149| rec_l_loss: 0.154| total_loss: 0.787 | future_valid_r: 29.0 | future_valid_l: 31.0 | obj_loss: 0.079 
Epoch:0 (20/147) Data: 0.000757s | Batch: 0.211s | future_traj_r_loss: 0.146 | future_traj_l_loss: 0.299 | rec_r_loss: 0.141| rec_l_loss: 0.140| total_loss: 0.811 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.087 
Epoch:0 (21/147) Data: 0.000768s | Batch: 0.206s | future_traj_r_loss: 0.184 | future_traj_l_loss: 0.203 | rec_r_loss: 0.135| rec_l_loss: 0.136| total_loss: 0.750 | future_valid_r: 31.0 | future_valid_l: 32.0 | obj_loss: 0.069 
Epoch:0 (22/147) Data: 0.000767s | Batch: 0.202s | future_traj_r_loss: 0.269 | future_traj_l_loss: 0.185 | rec_r_loss: 0.129| rec_l_loss: 0.130| total_loss: 0.786 | future_valid_r: 31.0 | future_valid_l: 29.0 | obj_loss: 0.103 
Epoch:0 (23/147) Data: 0.000760s | Batch: 0.198s | future_traj_r_loss: 0.231 | future_traj_l_loss: 0.250 | rec_r_loss: 0.131| rec_l_loss: 0.130| total_loss: 0.839 | future_valid_r: 32.0 | future_valid_l: 30.0 | obj_loss: 0.114 
Epoch:0 (24/147) Data: 0.000811s | Batch: 0.195s | future_traj_r_loss: 0.222 | future_traj_l_loss: 0.227 | rec_r_loss: 0.116| rec_l_loss: 0.119| total_loss: 0.773 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.128 
Epoch:0 (25/147) Data: 0.000756s | Batch: 0.192s | future_traj_r_loss: 0.265 | future_traj_l_loss: 0.340 | rec_r_loss: 0.122| rec_l_loss: 0.122| total_loss: 0.922 | future_valid_r: 27.0 | future_valid_l: 31.0 | obj_loss: 0.094 
Epoch:0 (26/147) Data: 0.000737s | Batch: 0.189s | future_traj_r_loss: 0.186 | future_traj_l_loss: 0.262 | rec_r_loss: 0.123| rec_l_loss: 0.122| total_loss: 0.796 | future_valid_r: 31.0 | future_valid_l: 32.0 | obj_loss: 0.044 
Epoch:0 (27/147) Data: 0.000788s | Batch: 0.187s | future_traj_r_loss: 0.232 | future_traj_l_loss: 0.388 | rec_r_loss: 0.125| rec_l_loss: 0.124| total_loss: 0.963 | future_valid_r: 30.0 | future_valid_l: 30.0 | obj_loss: 0.121 
Epoch:0 (28/147) Data: 0.000753s | Batch: 0.184s | future_traj_r_loss: 0.178 | future_traj_l_loss: 0.193 | rec_r_loss: 0.111| rec_l_loss: 0.111| total_loss: 0.668 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.071 
Epoch:0 (29/147) Data: 0.001420s | Batch: 0.182s | future_traj_r_loss: 0.196 | future_traj_l_loss: 0.185 | rec_r_loss: 0.110| rec_l_loss: 0.110| total_loss: 0.667 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.072 
Epoch:0 (30/147) Data: 0.000837s | Batch: 0.180s | future_traj_r_loss: 0.178 | future_traj_l_loss: 0.254 | rec_r_loss: 0.112| rec_l_loss: 0.112| total_loss: 0.746 | future_valid_r: 32.0 | future_valid_l: 30.0 | obj_loss: 0.066 
Epoch:0 (31/147) Data: 0.000750s | Batch: 0.178s | future_traj_r_loss: 0.189 | future_traj_l_loss: 0.333 | rec_r_loss: 0.106| rec_l_loss: 0.105| total_loss: 0.829 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.078 
Epoch:0 (32/147) Data: 0.000782s | Batch: 0.176s | future_traj_r_loss: 0.244 | future_traj_l_loss: 0.277 | rec_r_loss: 0.104| rec_l_loss: 0.104| total_loss: 0.797 | future_valid_r: 30.0 | future_valid_l: 29.0 | obj_loss: 0.078 
Epoch:0 (33/147) Data: 0.000852s | Batch: 0.175s | future_traj_r_loss: 0.255 | future_traj_l_loss: 0.286 | rec_r_loss: 0.108| rec_l_loss: 0.108| total_loss: 0.882 | future_valid_r: 32.0 | future_valid_l: 31.0 | obj_loss: 0.097 
Epoch:0 (34/147) Data: 0.000840s | Batch: 0.173s | future_traj_r_loss: 0.229 | future_traj_l_loss: 0.261 | rec_r_loss: 0.103| rec_l_loss: 0.102| total_loss: 0.800 | future_valid_r: 30.0 | future_valid_l: 32.0 | obj_loss: 0.080 
Epoch:0 (35/147) Data: 0.000762s | Batch: 0.172s | future_traj_r_loss: 0.208 | future_traj_l_loss: 0.313 | rec_r_loss: 0.106| rec_l_loss: 0.106| total_loss: 0.844 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.083 
Epoch:0 (36/147) Data: 0.000872s | Batch: 0.170s | future_traj_r_loss: 0.175 | future_traj_l_loss: 0.348 | rec_r_loss: 0.102| rec_l_loss: 0.102| total_loss: 0.835 | future_valid_r: 29.0 | future_valid_l: 32.0 | obj_loss: 0.059 
Epoch:0 (37/147) Data: 0.000794s | Batch: 0.169s | future_traj_r_loss: 0.222 | future_traj_l_loss: 0.211 | rec_r_loss: 0.100| rec_l_loss: 0.100| total_loss: 0.726 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.074 
Epoch:0 (38/147) Data: 0.000961s | Batch: 0.168s | future_traj_r_loss: 0.296 | future_traj_l_loss: 0.216 | rec_r_loss: 0.096| rec_l_loss: 0.096| total_loss: 0.811 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.096 
Epoch:0 (39/147) Data: 0.000872s | Batch: 0.167s | future_traj_r_loss: 0.207 | future_traj_l_loss: 0.246 | rec_r_loss: 0.095| rec_l_loss: 0.095| total_loss: 0.726 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.097 
Epoch:0 (40/147) Data: 0.000837s | Batch: 0.166s | future_traj_r_loss: 0.214 | future_traj_l_loss: 0.304 | rec_r_loss: 0.099| rec_l_loss: 0.100| total_loss: 0.801 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.050 
Epoch:0 (41/147) Data: 0.000797s | Batch: 0.164s | future_traj_r_loss: 0.166 | future_traj_l_loss: 0.278 | rec_r_loss: 0.091| rec_l_loss: 0.092| total_loss: 0.708 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.067 
Epoch:0 (42/147) Data: 0.000793s | Batch: 0.164s | future_traj_r_loss: 0.188 | future_traj_l_loss: 0.332 | rec_r_loss: 0.093| rec_l_loss: 0.093| total_loss: 0.795 | future_valid_r: 29.0 | future_valid_l: 31.0 | obj_loss: 0.077 
Epoch:0 (43/147) Data: 0.000882s | Batch: 0.163s | future_traj_r_loss: 0.227 | future_traj_l_loss: 0.237 | rec_r_loss: 0.095| rec_l_loss: 0.095| total_loss: 0.730 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.064 
Epoch:0 (44/147) Data: 0.001019s | Batch: 0.162s | future_traj_r_loss: 0.209 | future_traj_l_loss: 0.251 | rec_r_loss: 0.091| rec_l_loss: 0.093| total_loss: 0.738 | future_valid_r: 30.0 | future_valid_l: 32.0 | obj_loss: 0.066 
Epoch:0 (45/147) Data: 0.000962s | Batch: 0.161s | future_traj_r_loss: 0.260 | future_traj_l_loss: 0.221 | rec_r_loss: 0.094| rec_l_loss: 0.093| total_loss: 0.739 | future_valid_r: 29.0 | future_valid_l: 31.0 | obj_loss: 0.082 
Epoch:0 (46/147) Data: 0.000897s | Batch: 0.160s | future_traj_r_loss: 0.300 | future_traj_l_loss: 0.304 | rec_r_loss: 0.094| rec_l_loss: 0.094| total_loss: 0.925 | future_valid_r: 31.0 | future_valid_l: 32.0 | obj_loss: 0.062 
Epoch:0 (47/147) Data: 0.000946s | Batch: 0.160s | future_traj_r_loss: 0.269 | future_traj_l_loss: 0.227 | rec_r_loss: 0.089| rec_l_loss: 0.089| total_loss: 0.755 | future_valid_r: 31.0 | future_valid_l: 29.0 | obj_loss: 0.076 
Epoch:0 (48/147) Data: 0.000978s | Batch: 0.159s | future_traj_r_loss: 0.300 | future_traj_l_loss: 0.246 | rec_r_loss: 0.091| rec_l_loss: 0.091| total_loss: 0.814 | future_valid_r: 29.0 | future_valid_l: 32.0 | obj_loss: 0.053 
Epoch:0 (49/147) Data: 0.000941s | Batch: 0.158s | future_traj_r_loss: 0.234 | future_traj_l_loss: 0.265 | rec_r_loss: 0.085| rec_l_loss: 0.087| total_loss: 0.755 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.062 
Epoch:0 (50/147) Data: 0.001059s | Batch: 0.158s | future_traj_r_loss: 0.221 | future_traj_l_loss: 0.343 | rec_r_loss: 0.086| rec_l_loss: 0.088| total_loss: 0.836 | future_valid_r: 31.0 | future_valid_l: 30.0 | obj_loss: 0.096 
Epoch:0 (51/147) Data: 0.001523s | Batch: 0.157s | future_traj_r_loss: 0.202 | future_traj_l_loss: 0.247 | rec_r_loss: 0.090| rec_l_loss: 0.088| total_loss: 0.694 | future_valid_r: 31.0 | future_valid_l: 29.0 | obj_loss: 0.057 
Epoch:0 (52/147) Data: 0.001070s | Batch: 0.157s | future_traj_r_loss: 0.179 | future_traj_l_loss: 0.305 | rec_r_loss: 0.084| rec_l_loss: 0.085| total_loss: 0.738 | future_valid_r: 31.0 | future_valid_l: 30.0 | obj_loss: 0.075 
Epoch:0 (53/147) Data: 0.001419s | Batch: 0.156s | future_traj_r_loss: 0.203 | future_traj_l_loss: 0.270 | rec_r_loss: 0.086| rec_l_loss: 0.087| total_loss: 0.702 | future_valid_r: 27.0 | future_valid_l: 31.0 | obj_loss: 0.090 
Epoch:0 (54/147) Data: 0.001113s | Batch: 0.156s | future_traj_r_loss: 0.238 | future_traj_l_loss: 0.336 | rec_r_loss: 0.090| rec_l_loss: 0.089| total_loss: 0.829 | future_valid_r: 32.0 | future_valid_l: 28.0 | obj_loss: 0.071 
Epoch:0 (55/147) Data: 0.001108s | Batch: 0.156s | future_traj_r_loss: 0.199 | future_traj_l_loss: 0.255 | rec_r_loss: 0.087| rec_l_loss: 0.087| total_loss: 0.730 | future_valid_r: 32.0 | future_valid_l: 31.0 | obj_loss: 0.059 
Epoch:0 (56/147) Data: 0.001144s | Batch: 0.155s | future_traj_r_loss: 0.204 | future_traj_l_loss: 0.297 | rec_r_loss: 0.084| rec_l_loss: 0.084| total_loss: 0.742 | future_valid_r: 30.0 | future_valid_l: 30.0 | obj_loss: 0.086 
Epoch:0 (57/147) Data: 0.001281s | Batch: 0.155s | future_traj_r_loss: 0.243 | future_traj_l_loss: 0.244 | rec_r_loss: 0.086| rec_l_loss: 0.085| total_loss: 0.753 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.056 
Epoch:0 (58/147) Data: 0.001307s | Batch: 0.154s | future_traj_r_loss: 0.231 | future_traj_l_loss: 0.314 | rec_r_loss: 0.087| rec_l_loss: 0.087| total_loss: 0.806 | future_valid_r: 30.0 | future_valid_l: 30.0 | obj_loss: 0.103 
Epoch:0 (59/147) Data: 0.001158s | Batch: 0.154s | future_traj_r_loss: 0.259 | future_traj_l_loss: 0.169 | rec_r_loss: 0.083| rec_l_loss: 0.083| total_loss: 0.681 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.092 
Epoch:0 (60/147) Data: 0.001172s | Batch: 0.154s | future_traj_r_loss: 0.180 | future_traj_l_loss: 0.195 | rec_r_loss: 0.080| rec_l_loss: 0.080| total_loss: 0.623 | future_valid_r: 32.0 | future_valid_l: 32.0 | obj_loss: 0.043 
Epoch:0 (61/147) Data: 0.002246s | Batch: 0.154s | future_traj_r_loss: 0.204 | future_traj_l_loss: 0.244 | rec_r_loss: 0.082| rec_l_loss: 0.081| total_loss: 0.696 | future_valid_r: 30.0 | future_valid_l: 32.0 | obj_loss: 0.070 
Epoch:0 (62/147) Data: 0.001337s | Batch: 0.154s | future_traj_r_loss: 0.232 | future_traj_l_loss: 0.241 | rec_r_loss: 0.080| rec_l_loss: 0.080| total_loss: 0.679 | future_valid_r: 30.0 | future_valid_l: 28.0 | obj_loss: 0.110 
Epoch:0 (63/147) Data: 0.001232s | Batch: 0.154s | future_traj_r_loss: 0.172 | future_traj_l_loss: 0.273 | rec_r_loss: 0.080| rec_l_loss: 0.081| total_loss: 0.704 | future_valid_r: 31.0 | future_valid_l: 32.0 | obj_loss: 0.051 
Epoch:0 (64/147) Data: 0.001564s | Batch: 0.153s | future_traj_r_loss: 0.198 | future_traj_l_loss: 0.337 | rec_r_loss: 0.080| rec_l_loss: 0.080| total_loss: 0.794 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.059 
Epoch:0 (65/147) Data: 0.001714s | Batch: 0.153s | future_traj_r_loss: 0.254 | future_traj_l_loss: 0.249 | rec_r_loss: 0.074| rec_l_loss: 0.075| total_loss: 0.731 | future_valid_r: 31.0 | future_valid_l: 29.0 | obj_loss: 0.075 
Epoch:0 (66/147) Data: 0.001513s | Batch: 0.153s | future_traj_r_loss: 0.214 | future_traj_l_loss: 0.308 | rec_r_loss: 0.079| rec_l_loss: 0.080| total_loss: 0.742 | future_valid_r: 30.0 | future_valid_l: 29.0 | obj_loss: 0.091 
Epoch:0 (67/147) Data: 0.002328s | Batch: 0.153s | future_traj_r_loss: 0.242 | future_traj_l_loss: 0.347 | rec_r_loss: 0.079| rec_l_loss: 0.080| total_loss: 0.863 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.107 
Epoch:0 (68/147) Data: 0.001463s | Batch: 0.153s | future_traj_r_loss: 0.229 | future_traj_l_loss: 0.293 | rec_r_loss: 0.082| rec_l_loss: 0.081| total_loss: 0.732 | future_valid_r: 27.0 | future_valid_l: 31.0 | obj_loss: 0.051 
Epoch:0 (69/147) Data: 0.002332s | Batch: 0.153s | future_traj_r_loss: 0.281 | future_traj_l_loss: 0.239 | rec_r_loss: 0.080| rec_l_loss: 0.080| total_loss: 0.783 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.062 
Epoch:0 (70/147) Data: 0.001161s | Batch: 0.153s | future_traj_r_loss: 0.233 | future_traj_l_loss: 0.239 | rec_r_loss: 0.074| rec_l_loss: 0.075| total_loss: 0.707 | future_valid_r: 29.0 | future_valid_l: 32.0 | obj_loss: 0.062 
Epoch:0 (71/147) Data: 20.180000s | Batch: 0.437s | future_traj_r_loss: 0.224 | future_traj_l_loss: 0.287 | rec_r_loss: 0.082| rec_l_loss: 0.081| total_loss: 0.783 | future_valid_r: 31.0 | future_valid_l: 32.0 | obj_loss: 0.064 
Epoch:0 (72/147) Data: 0.001537s | Batch: 0.433s | future_traj_r_loss: 0.242 | future_traj_l_loss: 0.304 | rec_r_loss: 0.075| rec_l_loss: 0.075| total_loss: 0.785 | future_valid_r: 29.0 | future_valid_l: 32.0 | obj_loss: 0.069 
Epoch:0 (73/147) Data: 0.001183s | Batch: 0.429s | future_traj_r_loss: 0.206 | future_traj_l_loss: 0.222 | rec_r_loss: 0.072| rec_l_loss: 0.072| total_loss: 0.620 | future_valid_r: 30.0 | future_valid_l: 29.0 | obj_loss: 0.059 
Epoch:0 (74/147) Data: 0.001304s | Batch: 0.425s | future_traj_r_loss: 0.216 | future_traj_l_loss: 0.198 | rec_r_loss: 0.075| rec_l_loss: 0.072| total_loss: 0.589 | future_valid_r: 30.0 | future_valid_l: 27.0 | obj_loss: 0.051 
Epoch:0 (75/147) Data: 0.001349s | Batch: 0.422s | future_traj_r_loss: 0.230 | future_traj_l_loss: 0.263 | rec_r_loss: 0.076| rec_l_loss: 0.075| total_loss: 0.747 | future_valid_r: 31.0 | future_valid_l: 32.0 | obj_loss: 0.079 
Epoch:0 (76/147) Data: 0.001251s | Batch: 0.419s | future_traj_r_loss: 0.182 | future_traj_l_loss: 0.258 | rec_r_loss: 0.071| rec_l_loss: 0.071| total_loss: 0.646 | future_valid_r: 31.0 | future_valid_l: 29.0 | obj_loss: 0.068 
Epoch:0 (77/147) Data: 0.001250s | Batch: 0.415s | future_traj_r_loss: 0.182 | future_traj_l_loss: 0.318 | rec_r_loss: 0.073| rec_l_loss: 0.074| total_loss: 0.730 | future_valid_r: 28.0 | future_valid_l: 32.0 | obj_loss: 0.071 
Epoch:0 (78/147) Data: 0.001442s | Batch: 0.412s | future_traj_r_loss: 0.211 | future_traj_l_loss: 0.362 | rec_r_loss: 0.074| rec_l_loss: 0.076| total_loss: 0.781 | future_valid_r: 29.0 | future_valid_l: 29.0 | obj_loss: 0.091 
Epoch:0 (79/147) Data: 0.001342s | Batch: 0.409s | future_traj_r_loss: 0.219 | future_traj_l_loss: 0.256 | rec_r_loss: 0.077| rec_l_loss: 0.077| total_loss: 0.698 | future_valid_r: 29.0 | future_valid_l: 32.0 | obj_loss: 0.069 
Epoch:0 (80/147) Data: 0.001491s | Batch: 0.406s | future_traj_r_loss: 0.172 | future_traj_l_loss: 0.313 | rec_r_loss: 0.076| rec_l_loss: 0.076| total_loss: 0.719 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.074 
Epoch:0 (81/147) Data: 80.400153s | Batch: 1.395s | future_traj_r_loss: 0.186 | future_traj_l_loss: 0.235 | rec_r_loss: 0.073| rec_l_loss: 0.072| total_loss: 0.626 | future_valid_r: 29.0 | future_valid_l: 31.0 | obj_loss: 0.055 
Epoch:0 (82/147) Data: 0.001388s | Batch: 1.380s | future_traj_r_loss: 0.272 | future_traj_l_loss: 0.335 | rec_r_loss: 0.075| rec_l_loss: 0.075| total_loss: 0.854 | future_valid_r: 29.0 | future_valid_l: 32.0 | obj_loss: 0.062 
Epoch:0 (83/147) Data: 0.001255s | Batch: 1.365s | future_traj_r_loss: 0.262 | future_traj_l_loss: 0.200 | rec_r_loss: 0.073| rec_l_loss: 0.073| total_loss: 0.695 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.056 
Epoch:0 (84/147) Data: 4.908932s | Batch: 1.409s | future_traj_r_loss: 0.273 | future_traj_l_loss: 0.237 | rec_r_loss: 0.075| rec_l_loss: 0.076| total_loss: 0.735 | future_valid_r: 29.0 | future_valid_l: 31.0 | obj_loss: 0.071 
Epoch:0 (85/147) Data: 1.979025s | Batch: 1.417s | future_traj_r_loss: 0.221 | future_traj_l_loss: 0.185 | rec_r_loss: 0.068| rec_l_loss: 0.068| total_loss: 0.601 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.041 
Epoch:0 (86/147) Data: 0.001323s | Batch: 1.402s | future_traj_r_loss: 0.245 | future_traj_l_loss: 0.190 | rec_r_loss: 0.073| rec_l_loss: 0.073| total_loss: 0.634 | future_valid_r: 28.0 | future_valid_l: 32.0 | obj_loss: 0.061 
Epoch:0 (87/147) Data: 0.001277s | Batch: 1.388s | future_traj_r_loss: 0.216 | future_traj_l_loss: 0.185 | rec_r_loss: 0.072| rec_l_loss: 0.073| total_loss: 0.629 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.086 
Epoch:0 (88/147) Data: 0.001161s | Batch: 1.374s | future_traj_r_loss: 0.196 | future_traj_l_loss: 0.309 | rec_r_loss: 0.078| rec_l_loss: 0.078| total_loss: 0.750 | future_valid_r: 32.0 | future_valid_l: 31.0 | obj_loss: 0.040 
Epoch:0 (89/147) Data: 0.001310s | Batch: 1.360s | future_traj_r_loss: 0.174 | future_traj_l_loss: 0.287 | rec_r_loss: 0.074| rec_l_loss: 0.076| total_loss: 0.695 | future_valid_r: 29.0 | future_valid_l: 32.0 | obj_loss: 0.058 
Epoch:0 (90/147) Data: 0.001329s | Batch: 1.346s | future_traj_r_loss: 0.190 | future_traj_l_loss: 0.298 | rec_r_loss: 0.074| rec_l_loss: 0.073| total_loss: 0.712 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.057 
Epoch:0 (91/147) Data: 0.001484s | Batch: 1.333s | future_traj_r_loss: 0.162 | future_traj_l_loss: 0.245 | rec_r_loss: 0.070| rec_l_loss: 0.070| total_loss: 0.617 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.049 
Epoch:0 (92/147) Data: 0.001337s | Batch: 1.320s | future_traj_r_loss: 0.253 | future_traj_l_loss: 0.279 | rec_r_loss: 0.071| rec_l_loss: 0.071| total_loss: 0.787 | future_valid_r: 31.0 | future_valid_l: 32.0 | obj_loss: 0.068 
Epoch:0 (93/147) Data: 0.001245s | Batch: 1.307s | future_traj_r_loss: 0.210 | future_traj_l_loss: 0.331 | rec_r_loss: 0.072| rec_l_loss: 0.073| total_loss: 0.749 | future_valid_r: 28.0 | future_valid_l: 31.0 | obj_loss: 0.059 
Epoch:0 (94/147) Data: 0.001723s | Batch: 1.295s | future_traj_r_loss: 0.259 | future_traj_l_loss: 0.250 | rec_r_loss: 0.071| rec_l_loss: 0.071| total_loss: 0.713 | future_valid_r: 29.0 | future_valid_l: 30.0 | obj_loss: 0.065 
Epoch:0 (95/147) Data: 0.001399s | Batch: 1.283s | future_traj_r_loss: 0.233 | future_traj_l_loss: 0.261 | rec_r_loss: 0.070| rec_l_loss: 0.071| total_loss: 0.715 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.059 
Epoch:0 (96/147) Data: 0.001754s | Batch: 1.271s | future_traj_r_loss: 0.235 | future_traj_l_loss: 0.233 | rec_r_loss: 0.072| rec_l_loss: 0.073| total_loss: 0.708 | future_valid_r: 31.0 | future_valid_l: 32.0 | obj_loss: 0.057 
Epoch:0 (97/147) Data: 102.232623s | Batch: 2.313s | future_traj_r_loss: 0.235 | future_traj_l_loss: 0.166 | rec_r_loss: 0.071| rec_l_loss: 0.071| total_loss: 0.595 | future_valid_r: 31.0 | future_valid_l: 29.0 | obj_loss: 0.052 
