True
Starting training...
python traineval.py --ek_version=ek100 --epochs=30 --batch_size=32
training dataset size: 24148
evaluation dataset size: 401
Epoch:0 (33/755) Data: 0.000699s | Batch: 0.174s | future_traj_r_loss: 0.223 | future_traj_l_loss: 0.266 | rec_r_loss: 0.222| rec_l_loss: 0.220| total_loss: 0.930 | future_valid_r: 32.0 | future_valid_l: 25.0 | obj_loss: 0.058 
Epoch:0 (34/755) Data: 0.000656s | Batch: 0.172s | future_traj_r_loss: 0.269 | future_traj_l_loss: 0.272 | rec_r_loss: 0.209| rec_l_loss: 0.210| total_loss: 0.964 | future_valid_r: 32.0 | future_valid_l: 24.0 | obj_loss: 0.046 
Epoch:0 (35/755) Data: 0.000645s | Batch: 0.169s | future_traj_r_loss: 0.227 | future_traj_l_loss: 0.337 | rec_r_loss: 0.195| rec_l_loss: 0.205| total_loss: 0.812 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.048 
Epoch:0 (36/755) Data: 0.000674s | Batch: 0.167s | future_traj_r_loss: 0.242 | future_traj_l_loss: 0.296 | rec_r_loss: 0.206| rec_l_loss: 0.205| total_loss: 0.877 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.055 
Epoch:0 (37/755) Data: 0.000655s | Batch: 0.164s | future_traj_r_loss: 0.236 | future_traj_l_loss: 0.253 | rec_r_loss: 0.209| rec_l_loss: 0.201| total_loss: 0.859 | future_valid_r: 32.0 | future_valid_l: 22.0 | obj_loss: 0.039 
Epoch:0 (38/755) Data: 0.000660s | Batch: 0.162s | future_traj_r_loss: 0.227 | future_traj_l_loss: 0.217 | rec_r_loss: 0.202| rec_l_loss: 0.208| total_loss: 0.779 | future_valid_r: 32.0 | future_valid_l: 19.0 | obj_loss: 0.041 
Epoch:0 (39/755) Data: 0.000731s | Batch: 0.160s | future_traj_r_loss: 0.243 | future_traj_l_loss: 0.264 | rec_r_loss: 0.199| rec_l_loss: 0.182| total_loss: 0.844 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.055 
Epoch:0 (40/755) Data: 0.000672s | Batch: 0.158s | future_traj_r_loss: 0.282 | future_traj_l_loss: 0.221 | rec_r_loss: 0.191| rec_l_loss: 0.172| total_loss: 0.772 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.049 
Epoch:0 (41/755) Data: 0.000649s | Batch: 0.156s | future_traj_r_loss: 0.197 | future_traj_l_loss: 0.249 | rec_r_loss: 0.208| rec_l_loss: 0.213| total_loss: 0.907 | future_valid_r: 32.0 | future_valid_l: 26.0 | obj_loss: 0.036 
Epoch:0 (42/755) Data: 0.000663s | Batch: 0.155s | future_traj_r_loss: 0.234 | future_traj_l_loss: 0.195 | rec_r_loss: 0.190| rec_l_loss: 0.189| total_loss: 0.768 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.065 
