==========================================
=== MECCANO BASELINE (30ep) ===
==========================================
=== TRAINING ===
python traineval.py --ek_version=meccano --epochs=30 --batch_size=32 --num_classes=61 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True
training dataset size: 4679
evaluation dataset size: 2584
Epoch:0 (33/147) Data: 99.493132s | Batch: 9.820s | future_traj_r_loss: 0.255 | future_traj_l_loss: 0.286 | rec_r_loss: 0.108| rec_l_loss: 0.108| total_loss: 0.882 | future_valid_r: 32.0 | future_valid_l: 31.0 | obj_loss: 0.097 
Epoch:0 (34/147) Data: 1.710674s | Batch: 9.586s | future_traj_r_loss: 0.229 | future_traj_l_loss: 0.261 | rec_r_loss: 0.103| rec_l_loss: 0.102| total_loss: 0.800 | future_valid_r: 30.0 | future_valid_l: 32.0 | obj_loss: 0.080 
Epoch:0 (35/147) Data: 2.982298s | Batch: 9.402s | future_traj_r_loss: 0.208 | future_traj_l_loss: 0.313 | rec_r_loss: 0.106| rec_l_loss: 0.106| total_loss: 0.844 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.083 
Epoch:0 (36/147) Data: 0.002278s | Batch: 9.145s | future_traj_r_loss: 0.175 | future_traj_l_loss: 0.348 | rec_r_loss: 0.102| rec_l_loss: 0.102| total_loss: 0.835 | future_valid_r: 29.0 | future_valid_l: 32.0 | obj_loss: 0.059 
Epoch:0 (37/147) Data: 2.448210s | Batch: 8.967s | future_traj_r_loss: 0.222 | future_traj_l_loss: 0.211 | rec_r_loss: 0.100| rec_l_loss: 0.100| total_loss: 0.726 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.074 
Epoch:0 (38/147) Data: 0.001297s | Batch: 8.735s | future_traj_r_loss: 0.296 | future_traj_l_loss: 0.216 | rec_r_loss: 0.096| rec_l_loss: 0.096| total_loss: 0.811 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.096 
Epoch:0 (39/147) Data: 0.001114s | Batch: 8.516s | future_traj_r_loss: 0.207 | future_traj_l_loss: 0.246 | rec_r_loss: 0.095| rec_l_loss: 0.095| total_loss: 0.726 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.097 
Epoch:0 (40/147) Data: 0.351562s | Batch: 8.315s | future_traj_r_loss: 0.214 | future_traj_l_loss: 0.304 | rec_r_loss: 0.099| rec_l_loss: 0.100| total_loss: 0.801 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.050 
Epoch:0 (41/147) Data: 0.001367s | Batch: 8.116s | future_traj_r_loss: 0.166 | future_traj_l_loss: 0.278 | rec_r_loss: 0.091| rec_l_loss: 0.092| total_loss: 0.708 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.067 
Epoch:0 (42/147) Data: 0.001653s | Batch: 7.926s | future_traj_r_loss: 0.188 | future_traj_l_loss: 0.332 | rec_r_loss: 0.093| rec_l_loss: 0.093| total_loss: 0.795 | future_valid_r: 29.0 | future_valid_l: 31.0 | obj_loss: 0.077 
Epoch:0 (43/147) Data: 0.001221s | Batch: 7.745s | future_traj_r_loss: 0.227 | future_traj_l_loss: 0.237 | rec_r_loss: 0.095| rec_l_loss: 0.095| total_loss: 0.730 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.064 
Epoch:0 (44/147) Data: 0.001697s | Batch: 7.572s | future_traj_r_loss: 0.209 | future_traj_l_loss: 0.251 | rec_r_loss: 0.091| rec_l_loss: 0.093| total_loss: 0.738 | future_valid_r: 30.0 | future_valid_l: 32.0 | obj_loss: 0.066 
Epoch:0 (45/147) Data: 0.001274s | Batch: 7.407s | future_traj_r_loss: 0.260 | future_traj_l_loss: 0.221 | rec_r_loss: 0.094| rec_l_loss: 0.093| total_loss: 0.739 | future_valid_r: 29.0 | future_valid_l: 31.0 | obj_loss: 0.082 
Epoch:0 (46/147) Data: 0.001339s | Batch: 7.249s | future_traj_r_loss: 0.300 | future_traj_l_loss: 0.304 | rec_r_loss: 0.094| rec_l_loss: 0.094| total_loss: 0.925 | future_valid_r: 31.0 | future_valid_l: 32.0 | obj_loss: 0.062 
Epoch:0 (47/147) Data: 0.001254s | Batch: 7.098s | future_traj_r_loss: 0.269 | future_traj_l_loss: 0.227 | rec_r_loss: 0.089| rec_l_loss: 0.089| total_loss: 0.755 | future_valid_r: 31.0 | future_valid_l: 29.0 | obj_loss: 0.076 
Epoch:0 (48/147) Data: 0.001189s | Batch: 6.953s | future_traj_r_loss: 0.300 | future_traj_l_loss: 0.246 | rec_r_loss: 0.091| rec_l_loss: 0.091| total_loss: 0.814 | future_valid_r: 29.0 | future_valid_l: 32.0 | obj_loss: 0.053 
Epoch:0 (49/147) Data: 101.289357s | Batch: 8.881s | future_traj_r_loss: 0.234 | future_traj_l_loss: 0.265 | rec_r_loss: 0.085| rec_l_loss: 0.087| total_loss: 0.755 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.062 
Epoch:0 (50/147) Data: 0.001595s | Batch: 8.707s | future_traj_r_loss: 0.221 | future_traj_l_loss: 0.343 | rec_r_loss: 0.086| rec_l_loss: 0.088| total_loss: 0.836 | future_valid_r: 31.0 | future_valid_l: 30.0 | obj_loss: 0.096 
Epoch:0 (51/147) Data: 3.521290s | Batch: 8.608s | future_traj_r_loss: 0.202 | future_traj_l_loss: 0.247 | rec_r_loss: 0.090| rec_l_loss: 0.088| total_loss: 0.694 | future_valid_r: 31.0 | future_valid_l: 29.0 | obj_loss: 0.057 
Epoch:0 (52/147) Data: 0.015558s | Batch: 8.446s | future_traj_r_loss: 0.179 | future_traj_l_loss: 0.305 | rec_r_loss: 0.084| rec_l_loss: 0.085| total_loss: 0.738 | future_valid_r: 31.0 | future_valid_l: 30.0 | obj_loss: 0.075 
Epoch:0 (53/147) Data: 1.282058s | Batch: 8.313s | future_traj_r_loss: 0.203 | future_traj_l_loss: 0.270 | rec_r_loss: 0.086| rec_l_loss: 0.087| total_loss: 0.702 | future_valid_r: 27.0 | future_valid_l: 31.0 | obj_loss: 0.090 
Epoch:0 (54/147) Data: 0.001153s | Batch: 8.162s | future_traj_r_loss: 0.238 | future_traj_l_loss: 0.336 | rec_r_loss: 0.090| rec_l_loss: 0.089| total_loss: 0.829 | future_valid_r: 32.0 | future_valid_l: 28.0 | obj_loss: 0.071 
Epoch:0 (55/147) Data: 0.001298s | Batch: 8.016s | future_traj_r_loss: 0.199 | future_traj_l_loss: 0.255 | rec_r_loss: 0.087| rec_l_loss: 0.087| total_loss: 0.730 | future_valid_r: 32.0 | future_valid_l: 31.0 | obj_loss: 0.059 
Epoch:0 (56/147) Data: 0.001537s | Batch: 7.876s | future_traj_r_loss: 0.204 | future_traj_l_loss: 0.297 | rec_r_loss: 0.084| rec_l_loss: 0.084| total_loss: 0.742 | future_valid_r: 30.0 | future_valid_l: 30.0 | obj_loss: 0.086 
Epoch:0 (57/147) Data: 0.003046s | Batch: 7.740s | future_traj_r_loss: 0.243 | future_traj_l_loss: 0.244 | rec_r_loss: 0.086| rec_l_loss: 0.085| total_loss: 0.753 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.056 
Epoch:0 (58/147) Data: 0.001118s | Batch: 7.609s | future_traj_r_loss: 0.231 | future_traj_l_loss: 0.314 | rec_r_loss: 0.087| rec_l_loss: 0.087| total_loss: 0.806 | future_valid_r: 30.0 | future_valid_l: 30.0 | obj_loss: 0.103 
Epoch:0 (59/147) Data: 0.001175s | Batch: 7.483s | future_traj_r_loss: 0.259 | future_traj_l_loss: 0.169 | rec_r_loss: 0.083| rec_l_loss: 0.083| total_loss: 0.681 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.092 
